symbol,date,open,high,low,close,volume
GOOGL,2026-05-15,396.315,399.5399,393.18,396.78,20309702
GOOGL,2026-05-14,397.28,402.93,395.84,401.07,21136716
GOOGL,2026-05-13,385.595,403.7,385.0,402.62,28144555
GOOGL,2026-05-12,387.34,388.52,382.77,387.35,26017488
GOOGL,2026-05-11,393.645,397.44,388.47,388.64,30753738
GOOGL,2026-05-08,397.0,402.0,396.36,400.8,21461849
GOOGL,2026-05-07,399.92,400.1,392.68,397.99,24433490
GOOGL,2026-05-06,394.245,399.8499,392.76,398.04,31308476
GOOGL,2026-05-05,386.23,392.8199,384.02,388.43,23878626
GOOGL,2026-05-04,385.63,387.38,379.79,383.25,26298574
GOOGL,2026-05-01,381.63,386.76,379.05,385.69,30105226
GOOGL,2026-04-30,374.07,385.84,365.82,384.8,72039993
GOOGL,2026-04-29,347.565,355.79,344.21,349.94,35376328
GOOGL,2026-04-28,348.55,352.42,346.12,349.78,27824052
GOOGL,2026-04-27,345.98,353.18,342.73,350.34,28576887
GOOGL,2026-04-24,338.725,345.27,335.39,344.4,26426061
GOOGL,2026-04-23,341.18,341.96,336.18,338.89,18650256
GOOGL,2026-04-22,337.02,339.82,335.17,339.32,20293014
GOOGL,2026-04-21,337.685,339.34,331.35,332.29,23123795
GOOGL,2026-04-20,340.755,341.4,336.61,337.42,18784226
GOOGL,2026-04-17,337.65,342.32,336.24,341.68,25581881
JPM,2026-05-29,296.4,299.88,295.195,299.31,13973665
JPM,2026-05-28,297.57,301.07,295.75,296.73,9766204
JPM,2026-05-27,305.0,305.9,295.75,299.28,11785439
JPM,2026-05-26,308.49,309.93,305.44,306.74,7731840
JPM,2026-05-22,304.68,307.45,303.84,306.38,5978568
JPM,2026-05-21,301.23,303.975,300.21,303.0,7874388
JPM,2026-05-20,296.7,302.925,293.67,301.98,9281374
JPM,2026-05-19,301.09,301.79,295.26,295.7,8066927
JPM,2026-05-18,298.0,301.26,297.22,300.73,7546296
JPM,2026-05-15,300.205,300.79,296.45,297.81,8699281
JPM,2026-05-14,302.25,303.7504,298.81,299.91,7364315
JPM,2026-05-13,302.27,303.0,300.0709,300.25,7709525
JPM,2026-05-12,300.02,306.0624,295.55,304.88,9498214
JPM,2026-05-11,302.1,303.19,298.88,300.0,9511957
JPM,2026-05-08,308.25,308.99,300.5,302.1,9464267
JPM,2026-05-07,314.65,316.3,306.14,306.27,8359599
JPM,2026-05-06,311.45,316.2595,311.35,314.9,8629538
JPM,2026-05-05,307.71,310.97,306.8,309.4,6316845
JPM,2026-05-04,310.62,310.65,306.51,307.65,7338179
JPM,2026-05-01,313.95,316.08,311.83,312.47,6135359
JPM,2026-04-30,307.07,314.1,306.57,313.23,8865387
JPM,2026-04-29,310.57,312.045,307.29,309.25,8031805
JPM,2026-04-28,315.2,315.45,311.17,311.45,7398596
JPM,2026-04-27,306.88,312.58,306.88,311.63,7925317
JPM,2026-04-24,311.15,311.15,307.89,308.28,5215321
JPM,2026-04-23,313.52,314.99,308.89,311.69,6969656
JPM,2026-04-22,314.85,315.1486,311.9404,313.02,5545909
JPM,2026-04-21,317.49,320.235,312.75,313.0,7084264
JPM,2026-04-20,310.85,317.13,310.37,316.99,10772003
JPM,2026-04-17,312.47,314.9,310.09,310.29,11082391
SPY,2026-05-29,755.9,758.08,754.69,756.48,55075739
SPY,2026-05-28,750.25,755.15,749.23,754.6,41562563
SPY,2026-05-27,750.88,751.38,748.22,750.46,42106285
SPY,2026-05-26,750.01,752.13,748.37,750.59,41123621
SPY,2026-05-22,746.24,748.94,744.48,745.64,41762006
SPY,2026-05-21,738.64,744.87,737.03,742.72,43332225
SPY,2026-05-20,735.71,741.87,733.89,741.25,43381500
SPY,2026-05-19,734.78,737.65,731.53,733.73,54255913
SPY,2026-05-18,739.83,741.415,733.39,738.65,47843865
SPY,2026-05-15,741.79,743.46,737.96,739.17,60410771
SPY,2026-05-14,743.65,749.53,743.56,748.17,45307603
SPY,2026-05-13,738.47,743.91,735.47,742.31,44200203
SPY,2026-05-12,736.89,738.84,731.83,738.18,54185273
SPY,2026-05-11,736.45,740.79,736.45,739.3,44023951
SPY,2026-05-08,734.93,738.08,734.57,737.62,47227085
SPY,2026-05-07,735.05,736.13,729.75,731.58,51724642
SPY,2026-05-06,728.16,734.59,727.82,733.83,53288940
SPY,2026-05-05,721.77,725.04,721.4898,723.77,36933226
SPY,2026-05-04,720.07,722.12,714.99,718.01,51950558
SPY,2026-05-01,721.25,724.87,720.47,720.65,43049849
SPY,2026-04-30,714.63,719.79,710.445,718.66,67240949
SPY,2026-04-29,711.0,712.2,708.37,711.58,41859227
SPY,2026-04-28,711.815,712.88,709.25,711.69,43117436
SPY,2026-04-27,713.17,715.63,712.295,715.17,33135943
SPY,2026-04-24,710.75,714.47,709.01,713.94,45181957
SPY,2026-04-23,709.5,712.3598,702.2803,708.45,56173990
SPY,2026-04-22,709.15,711.45,708.22,711.21,42518498
SPY,2026-04-21,710.28,711.275,702.64,704.08,58941384
SPY,2026-04-20,708.78,709.91,706.14,708.72,43546812
SPY,2026-04-17,706.14,712.39,705.76,710.14,70661926
